nodes,damage,seed,mode_a,mode_b,delta_coverage,delta_reliability,delta_cc,matched_001,matched_002,matched_005
30,0.15,101,random,clustered,0.016528925619834656,0.0008368646759973064,0.0,False,True,True
30,0.15,101,random,gateway-near,0.008264462809917439,0.09289930799322749,1.25,False,False,False
30,0.15,101,random,peripheral,0.03305785123966942,0.058604174147170784,0.0,False,False,False
30,0.15,101,random,coverage-critical,0.07024793388429751,0.03631197782647233,1.25,False,False,False
30,0.15,101,clustered,gateway-near,0.024793388429752095,0.0937361726692248,1.25,False,False,False
30,0.15,101,clustered,peripheral,0.016528925619834767,0.05776730947117348,0.0,False,False,False
30,0.15,101,clustered,coverage-critical,0.05371900826446285,0.035475113150475024,1.25,False,False,False
30,0.15,101,gateway-near,peripheral,0.04132231404958686,0.15150348214039827,1.25,False,False,False
30,0.15,101,gateway-near,coverage-critical,0.07851239669421495,0.12921128581969982,2.5,False,False,False
30,0.15,101,peripheral,coverage-critical,0.037190082644628086,0.022292196320698454,1.25,False,False,True
30,0.15,202,random,clustered,0.024793388429752095,0.04513499485063416,0.4500000000000002,False,False,True
30,0.15,202,random,gateway-near,0.01446280991735538,0.04788895314138608,0.10000000000000053,False,False,True
30,0.15,202,random,peripheral,0.04958677685950408,0.10264991879061192,1.15,False,False,False
30,0.15,202,random,coverage-critical,0.10537190082644632,0.09694536806415932,0.20000000000000018,False,False,False
30,0.15,202,clustered,gateway-near,0.039256198347107474,0.0027539582907519233,0.34999999999999964,False,False,True
30,0.15,202,clustered,peripheral,0.024793388429751984,0.14778491364124607,1.6,False,False,False
30,0.15,202,clustered,coverage-critical,0.08057851239669422,0.14208036291479348,0.25,False,False,False
30,0.15,202,gateway-near,peripheral,0.06404958677685946,0.150538871931998,1.2500000000000004,False,False,False
30,0.15,202,gateway-near,coverage-critical,0.1198347107438017,0.1448343212055454,0.09999999999999964,False,False,False
30,0.15,202,peripheral,coverage-critical,0.05578512396694224,0.005704550726452595,1.35,False,False,False
30,0.15,303,random,gateway-near,0.037190082644628086,0.0837585693352508,2.25,False,False,False
30,0.15,303,random,peripheral,0.022727272727272818,0.04151806990233359,1.1500000000000004,False,False,True
30,0.15,303,random,coverage-critical,0.08264462809917361,0.0040350731926316885,1.0,False,False,False
30,0.15,303,gateway-near,peripheral,0.014462809917355268,0.1252766392375844,3.4000000000000004,False,False,False
30,0.15,303,gateway-near,coverage-critical,0.045454545454545525,0.08779364252788249,1.25,False,False,False
30,0.15,303,peripheral,coverage-critical,0.05991735537190079,0.0374829967097019,2.1500000000000004,False,False,False
30,0.3,101,random,clustered,0.08677685950413228,0.07481051573066119,1.4500000000000002,False,False,False
30,0.3,101,random,gateway-near,0.06611570247933884,0.16361503684200232,3.1000000000000005,False,False,False
30,0.3,101,random,peripheral,0.09090909090909094,0.1343808121289977,3.500000000000001,False,False,False
30,0.3,101,clustered,gateway-near,0.02066115702479343,0.2384255525726635,1.6500000000000004,False,False,False
30,0.3,101,clustered,peripheral,0.004132231404958664,0.0595702963983365,2.0500000000000007,False,False,False
30,0.3,101,gateway-near,peripheral,0.024793388429752095,0.297995848971,0.40000000000000036,False,False,False
30,0.3,202,random,clustered,0.006198347107438051,0.004870310693887797,2.25,True,True,True
30,0.3,202,random,gateway-near,0.014462809917355268,0.1495342105539186,1.0,False,False,False
30,0.3,202,clustered,gateway-near,0.02066115702479332,0.1544045212478064,1.25,False,False,False
30,0.3,303,random,clustered,0.04132231404958686,0.03289078244148538,1.25,False,False,True
30,0.3,303,random,gateway-near,0.006198347107438051,0.1897664796031503,2.1500000000000004,False,False,False
30,0.3,303,random,peripheral,0.049586776859504134,0.11285776163337821,0.8499999999999996,False,False,False
30,0.3,303,clustered,gateway-near,0.03512396694214881,0.1568756971616649,3.4000000000000004,False,False,False
30,0.3,303,clustered,peripheral,0.090909090909091,0.1457485440748636,2.0999999999999996,False,False,False
30,0.3,303,gateway-near,peripheral,0.055785123966942185,0.30262424123652854,1.3000000000000007,False,False,False
60,0.15,101,random,clustered,0.10123966942148765,0.009757285582610103,0.4500000000000002,False,False,False
60,0.15,101,random,gateway-near,0.04338842975206614,0.12298483304922748,0.0,False,False,False
60,0.15,101,random,peripheral,0.05785123966942152,0.03656421290013531,1.25,False,False,False
60,0.15,101,random,coverage-critical,0.11157024793388437,0.02520921005172752,0.4500000000000002,False,False,False
60,0.15,101,clustered,gateway-near,0.05785123966942152,0.1327421186318376,0.4500000000000002,False,False,False
60,0.15,101,clustered,peripheral,0.04338842975206614,0.02680692731752521,0.7999999999999998,False,False,True
60,0.15,101,clustered,coverage-critical,0.010330578512396715,0.015451924469117417,0.0,False,True,True
60,0.15,101,gateway-near,peripheral,0.01446280991735538,0.1595490459493628,1.25,False,False,False
60,0.15,101,gateway-near,coverage-critical,0.06818181818181823,0.14819404310095502,0.4500000000000002,False,False,False
60,0.15,101,peripheral,coverage-critical,0.05371900826446285,0.011355002848407791,0.7999999999999998,False,False,False
60,0.15,202,random,clustered,0.06611570247933884,0.03252849336591421,0.7999999999999998,False,False,False
60,0.15,202,random,gateway-near,0.030991735537190035,0.10916447824458231,1.0999999999999996,False,False,False
60,0.15,202,random,peripheral,0.07024793388429751,0.061173679529881786,0.0,False,False,False
60,0.15,202,random,coverage-critical,0.15082644628099173,0.05878673163850673,0.0,False,False,False
60,0.15,202,clustered,gateway-near,0.03512396694214881,0.0766359848786681,0.2999999999999998,False,False,False
60,0.15,202,clustered,peripheral,0.004132231404958664,0.093702172895796,0.7999999999999998,False,False,False
60,0.15,202,clustered,coverage-critical,0.08471074380165289,0.09131522500442094,0.7999999999999998,False,False,False
60,0.15,202,gateway-near,peripheral,0.039256198347107474,0.1703381577744641,1.0999999999999996,False,False,False
60,0.15,202,gateway-near,coverage-critical,0.1198347107438017,0.16795120988308904,1.0999999999999996,False,False,False
60,0.15,202,peripheral,coverage-critical,0.08057851239669422,0.0023869478913750575,0.0,False,False,False
60,0.15,303,random,peripheral,0.004132231404958664,0.03273716746266109,3.25,False,False,True
60,0.15,303,random,coverage-critical,0.07438016528925617,0.016787280352791978,3.6500000000000004,False,False,False
60,0.15,303,peripheral,coverage-critical,0.07024793388429751,0.01594988710986911,6.9,False,False,False
60,0.3,101,random,clustered,0.08884297520661166,0.059072331375518816,0.4500000000000002,False,False,False
60,0.3,101,random,gateway-near,0.07644628099173556,0.24506730269174912,2.4000000000000004,False,False,False
60,0.3,101,random,peripheral,0.2272727272727273,0.09809206888188277,2.4,False,False,False
60,0.3,101,random,coverage-critical,0.18801652892561993,0.07640893741251037,1.25,False,False,False
60,0.3,101,clustered,gateway-near,0.012396694214876103,0.1859949713162303,2.8500000000000005,False,False,False
60,0.3,101,clustered,peripheral,0.13842975206611563,0.15716440025740158,1.9499999999999997,False,False,False
60,0.3,101,clustered,coverage-critical,0.09917355371900827,0.13548126878802919,0.7999999999999998,False,False,False
60,0.3,101,gateway-near,peripheral,0.15082644628099173,0.34315937157363186,4.800000000000001,False,False,False
60,0.3,101,gateway-near,coverage-critical,0.11157024793388437,0.32147624010425946,3.6500000000000004,False,False,False
60,0.3,101,peripheral,coverage-critical,0.03925619834710736,0.021683131469372396,1.15,False,False,True
60,0.3,202,random,clustered,0.11363636363636365,0.03309798939321851,1.4000000000000004,False,False,False
60,0.3,202,random,peripheral,0.13636363636363635,0.17456157889655483,3.6500000000000004,False,False,False
60,0.3,202,random,coverage-critical,0.23347107438016534,0.09793724985626873,0.25,False,False,False
60,0.3,202,clustered,peripheral,0.022727272727272707,0.14146358950333632,2.25,False,False,False
60,0.3,202,clustered,coverage-critical,0.1198347107438017,0.06483926046305022,1.1500000000000004,False,False,False
60,0.3,202,peripheral,coverage-critical,0.09710743801652899,0.0766243290402861,3.4000000000000004,False,False,False
60,0.3,303,random,clustered,0.10330578512396693,0.02533409465882719,0.0,False,False,False
60,0.3,303,random,gateway-near,0.05578512396694213,0.20914791490261178,2.4000000000000004,False,False,False
60,0.3,303,random,peripheral,0.14462809917355368,0.11845307986784903,1.25,False,False,False
60,0.3,303,random,coverage-critical,0.16115702479338845,0.07719710233674515,1.25,False,False,False
60,0.3,303,clustered,gateway-near,0.0475206611570248,0.1838138202437846,2.4000000000000004,False,False,False
60,0.3,303,clustered,peripheral,0.04132231404958675,0.14378717452667622,1.25,False,False,False
60,0.3,303,clustered,coverage-critical,0.05785123966942152,0.10253119699557234,1.25,False,False,False
60,0.3,303,gateway-near,peripheral,0.08884297520661155,0.3276009947704608,3.6500000000000004,False,False,False
60,0.3,303,gateway-near,coverage-critical,0.10537190082644632,0.2863450172393569,3.6500000000000004,False,False,False
60,0.3,303,peripheral,coverage-critical,0.016528925619834767,0.04125597753110388,0.0,False,False,True
60,0.45,101,random,clustered,0.1074380165289256,0.09027965950991654,0.6000000000000005,False,False,False
60,0.45,101,random,gateway-near,0.09917355371900827,0.24481696349494922,1.25,False,False,False
60,0.45,101,random,peripheral,0.1322314049586777,0.14880312178252159,1.4000000000000004,False,False,False
60,0.45,101,random,coverage-critical,0.15909090909090906,0.04237479742059058,0.15000000000000036,False,False,False
60,0.45,101,clustered,gateway-near,0.008264462809917328,0.15453730398503268,1.8500000000000005,False,False,False
60,0.45,101,clustered,peripheral,0.024793388429752095,0.23908278129243812,0.7999999999999998,False,False,False
60,0.45,101,clustered,coverage-critical,0.051652892561983466,0.13265445693050712,0.4500000000000002,False,False,False
60,0.45,101,gateway-near,peripheral,0.03305785123966942,0.39362008527747083,2.6500000000000004,False,False,False
60,0.45,101,gateway-near,coverage-critical,0.05991735537190079,0.28719176091553983,1.4000000000000004,False,False,False
60,0.45,101,peripheral,coverage-critical,0.02685950413223137,0.106428324361931,1.25,False,False,False
60,0.45,202,random,clustered,0.1322314049586777,0.06099148791027223,2.000000000000001,False,False,False
60,0.45,202,random,gateway-near,0.13842975206611574,0.24313171105824632,6.3500000000000005,False,False,False
60,0.45,202,random,peripheral,0.11157024793388426,0.17904727526288888,0.2999999999999998,False,False,False
60,0.45,202,random,coverage-critical,0.1425619834710744,0.022813209199247064,4.95,False,False,False
60,0.45,202,clustered,gateway-near,0.006198347107438051,0.1821402231479741,4.35,False,False,False
60,0.45,202,clustered,peripheral,0.02066115702479343,0.2400387631731611,1.700000000000001,False,False,False
60,0.45,202,clustered,coverage-critical,0.010330578512396715,0.0838046971095193,2.9499999999999993,False,False,False
60,0.45,202,gateway-near,peripheral,0.026859504132231482,0.4221789863211352,6.050000000000001,False,False,False
60,0.45,202,gateway-near,coverage-critical,0.004132231404958664,0.2659449202574934,1.4000000000000004,False,False,False
60,0.45,202,peripheral,coverage-critical,0.030991735537190146,0.15623406606364182,4.65,False,False,False
60,0.45,303,random,clustered,0.14462809917355368,0.0983448426913742,4.1000000000000005,False,False,False
60,0.45,303,random,gateway-near,0.13636363636363635,0.2813003835804281,7.3500000000000005,False,False,False
