actions,state_space,scenario_seed,algorithm_seed,replicate,method,feasible,cost,exact_cc,cog,ncog,optimum_hit,runtime_s
8,256,7777,,0,CC-Exact,False,,,,,False,0.09274824299973261
8,256,7777,,0,Greedy,False,,,,,False,9.930799978974392e-05
8,256,7777,809000.0,1,GA,False,,,,,False,0.0074357899998176435
8,256,7777,1609000.0,1,PSO,False,,,,,False,0.003054275000067719
8,256,7777,2409000.0,1,NSGA-II,False,,,,,False,0.1300329329997112
8,256,7777,3209000.0,1,Random,False,,,,,False,0.0009335130002909864
8,256,7777,809001.0,2,GA,False,,,,,False,0.007281890999820462
8,256,7777,1609001.0,2,PSO,False,,,,,False,0.0028416589998414565
8,256,7777,2409001.0,2,NSGA-II,False,,,,,False,0.13012019200004943
8,256,7777,3209001.0,2,Random,False,,,,,False,0.0008797020000201883
8,256,7777,809002.0,3,GA,False,,,,,False,0.007254731000102765
8,256,7777,1609002.0,3,PSO,False,,,,,False,0.0028786630000467994
8,256,7777,2409002.0,3,NSGA-II,False,,,,,False,0.12944564700001138
8,256,7777,3209002.0,3,Random,False,,,,,False,0.0008776889999353443
8,256,7777,809003.0,4,GA,False,,,,,False,0.007244053999784228
8,256,7777,1609003.0,4,PSO,False,,,,,False,0.0028609870000764204
8,256,7777,2409003.0,4,NSGA-II,False,,,,,False,0.12961469899983058
8,256,7777,3209003.0,4,Random,False,,,,,False,0.0008822259997032234
8,256,7777,809004.0,5,GA,False,,,,,False,0.007279737999851932
8,256,7777,1609004.0,5,PSO,False,,,,,False,0.002861827999822708
8,256,7777,2409004.0,5,NSGA-II,False,,,,,False,0.12965745300016351
8,256,7777,3209004.0,5,Random,False,,,,,False,0.0008905080003387411
8,256,7777,809005.0,6,GA,False,,,,,False,0.0071759930001462635
8,256,7777,1609005.0,6,PSO,False,,,,,False,0.0028516229999695497
8,256,7777,2409005.0,6,NSGA-II,False,,,,,False,0.12848329199960062
8,256,7777,3209005.0,6,Random,False,,,,,False,0.000875876000009157
8,256,7777,809006.0,7,GA,False,,,,,False,0.007215741999971215
8,256,7777,1609006.0,7,PSO,False,,,,,False,0.0028691090001302655
8,256,7777,2409006.0,7,NSGA-II,False,,,,,False,0.12997703499968338
8,256,7777,3209006.0,7,Random,False,,,,,False,0.0009175290001621761
8,256,7777,809007.0,8,GA,False,,,,,False,0.007161341000028187
8,256,7777,1609007.0,8,PSO,False,,,,,False,0.0028872869997940143
8,256,7777,2409007.0,8,NSGA-II,False,,,,,False,0.1288128629998937
8,256,7777,3209007.0,8,Random,False,,,,,False,0.0009349040001325193
8,256,7777,809008.0,9,GA,False,,,,,False,0.0074554640000314976
8,256,7777,1609008.0,9,PSO,False,,,,,False,0.003008948000115197
8,256,7777,2409008.0,9,NSGA-II,False,,,,,False,0.13109826100026112
8,256,7777,3209008.0,9,Random,False,,,,,False,0.0008780600001045968
8,256,7777,809009.0,10,GA,False,,,,,False,0.00728036800001064
8,256,7777,1609009.0,10,PSO,False,,,,,False,0.0029007260000071255
8,256,7777,2409009.0,10,NSGA-II,False,,,,,False,0.1308299120000811
8,256,7777,3209009.0,10,Random,False,,,,,False,0.000901975000033417
8,256,7777,809010.0,11,GA,False,,,,,False,0.00907665700015059
8,256,7777,1609010.0,11,PSO,False,,,,,False,0.0029000760000599257
8,256,7777,2409010.0,11,NSGA-II,False,,,,,False,0.13321257500001593
