damage,failure_mode,count,mean,std,median
0.15,clustered,7,5.785714285714286,1.3161542100992214,5.25
0.15,coverage-critical,9,5.988888888888889,2.689072537346494,5.0
0.15,gateway-near,8,6.60625,1.5412048857955258,6.425
0.15,peripheral,9,5.15,0.9433981132056602,5.25
0.15,random,9,5.85,1.3133925536563698,5.25
0.3,clustered,9,6.061111111111111,2.471307571127299,5.25
0.3,coverage-critical,6,5.041666666666667,1.4065620024252992,4.4
0.3,gateway-near,8,7.98125,1.5292242431096514,7.65
0.3,peripheral,8,4.9375,2.191012486109039,4.0
0.3,random,9,6.133333333333334,1.681888819155416,5.25
0.45,clustered,6,6.1499999999999995,1.9449935732541637,6.300000000000001
0.45,coverage-critical,6,6.416666666666667,2.1414169763655715,6.325
0.45,gateway-near,5,9.45,2.079663434308542,8.65
0.45,peripheral,6,4.575,1.2584712948653218,4.925
0.45,random,6,5.541666666666667,0.8224455402436486,5.425
