actions,state_space,method,runs,success_rate,exact_cc,mean_ncog,median_ncog,q25_ncog,q75_ncog,sd_ncog,optimum_hit_rate,mean_runtime_s,median_runtime_s
8,256,CC-Exact,1,0.0,,,,,,,0.0,0.09274824299973261,0.09274824299973261
8,256,GA,12,0.0,,,,,,,0.0,0.007420284166641977,0.007267234499977349
8,256,Greedy,1,0.0,,,,,,,0.0,9.930799978974392e-05,9.930799978974392e-05
8,256,NSGA-II,12,0.0,,,,,,,0.0,0.12997955608329903,0.12981724399992345
8,256,PSO,12,0.0,,,,,,,0.0,0.0028986249166867615,0.0028738860000885325
8,256,Random,12,0.0,,,,,,,0.0,0.0008932172500711507,0.0008809639998617058
10,1024,CC-Exact,1,1.0,8.55,0.0,0.0,0.0,0.0,0.0,1.0,0.2345368689998395,0.2345368689998395
10,1024,GA,12,1.0,8.55,0.043859649122807015,0.043859649122807015,0.0,0.08771929824561403,0.04580990946202574,0.5,0.011787172749942934,0.007902365999825633
10,1024,Greedy,1,1.0,8.55,0.08771929824561403,0.08771929824561403,0.08771929824561403,0.08771929824561403,0.0,0.0,0.0028820180000366236,0.0028820180000366236
10,1024,NSGA-II,12,1.0,8.55,0.007309941520467836,0.0,0.0,0.0,0.02532238022761516,0.9166666666666666,0.13586819924989868,0.1352309254998545
10,1024,PSO,12,1.0,8.55,0.007309941520467836,0.0,0.0,0.0,0.02532238022761516,0.9166666666666666,0.009566299666706376,0.004031757999882757
10,1024,Random,12,1.0,8.55,0.07797270955165692,0.08771929824561403,0.0,0.11695906432748537,0.06979042589939825,0.3333333333333333,0.0035401101666442023,0.0013912904998960585
12,4096,CC-Exact,1,1.0,8.55,0.0,0.0,0.0,0.0,0.0,1.0,0.6017401480003173,0.6017401480003173
12,4096,GA,12,1.0,8.55,0.035087719298245605,0.0,0.0,0.021929824561403508,0.07443229275647867,0.75,0.021559421333298207,0.015574764500115634
12,4096,Greedy,1,1.0,8.55,0.08771929824561403,0.08771929824561403,0.08771929824561403,0.08771929824561403,0.0,0.0,0.004059275000145135,0.004059275000145135
12,4096,NSGA-II,12,1.0,8.55,0.014619883040935672,0.0,0.0,0.0,0.03414469053340013,0.8333333333333334,0.1426379489999666,0.1398574310001095
12,4096,PSO,12,1.0,8.55,0.043859649122807015,0.043859649122807015,0.0,0.08771929824561403,0.04580990946202574,0.5,0.040844656083360555,0.022883970999828307
12,4096,Random,12,1.0,8.55,0.1442495126705653,0.1374269005847953,0.08771929824561403,0.19152046783625726,0.0603287286594614,0.0,0.023900465749989053,0.017794620499898883
14,16384,CC-Exact,1,1.0,8.3,0.0,0.0,0.0,0.0,0.0,1.0,1.2914022710001518,1.2914022710001518
14,16384,GA,12,1.0,8.3,0.052208835341365445,0.03012048192771084,0.0,0.12048192771084336,0.05309993047434325,0.3333333333333333,0.05029123191676869,0.04863057650004521
14,16384,Greedy,1,1.0,8.3,0.12048192771084336,0.12048192771084336,0.12048192771084336,0.12048192771084336,0.0,0.0,0.007286526999905618,0.007286526999905618
14,16384,NSGA-II,12,1.0,8.3,0.0251004016064257,0.0,0.0,0.03012048192771084,0.046009796134094776,0.6666666666666666,0.1622648937499207,0.156677768499776
14,16384,PSO,12,1.0,8.3,0.06325301204819274,0.05421686746987943,0.03012048192771084,0.09789156626506022,0.044155957821032286,0.16666666666666666,0.11562700458330255,0.09746718599990345
14,16384,Random,12,1.0,8.3,0.10592369477911641,0.12048192771084336,0.05421686746987943,0.1506024096385542,0.058544476387816895,0.0,0.0667163941667468,0.067638431999967
16,65536,CC-Exact,1,1.0,7.75,0.0,0.0,0.0,0.0,0.0,1.0,2.510878610999953,2.510878610999953
16,65536,GA,12,1.0,7.75,0.08602150537634412,0.0967741935483871,0.05322580645161298,0.103225806451613,0.06263131445333826,0.25,0.08476934600010584,0.0866794665002999
16,65536,Greedy,1,1.0,7.75,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0,0.0,0.006668194999747357,0.006668194999747357
16,65536,NSGA-II,12,1.0,7.75,0.03172043010752692,0.0,0.0,0.07096774193548397,0.03981399694962072,0.5833333333333334,0.1945149368333053,0.1909635150000213
16,65536,PSO,12,1.0,7.75,0.08763440860215055,0.11290322580645161,0.0,0.12903225806451613,0.07197148518972618,0.3333333333333333,0.1989098380000011,0.1943903510000382
16,65536,Random,12,1.0,7.75,0.1919354838709677,0.16129032258064516,0.12903225806451613,0.23387096774193547,0.07722972867002423,0.0,0.10478783775007135,0.10215866299995469
